Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Employment in Services(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Female Employment in Services(%),Unemployment(%),Female Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Agriculture value added(%),Industry value added(%),Services value added(%),Expense(% of GDP),GDP per capita,GDP growth rate,Foreign Direct Investment,Exports of goods and services,Imports of goods and services,Male life expectancy,Female life expectancy,Inflation rate,Year,Country
41454761.0,20530683.0,20924078.0,,,9.0,18.3867844265709,45.4639523771058,36.1492763095089,47.4179457092152,33.8587111379347,18.7233431528502,13.991,26.57,17233051620.1117,,82333082.7831386,5949003095.47994,34.5208917527827,13.5231032701819,46.5489009688383,,415.707417059086,2.71088679128353,,16.7751362822863,50.498206993764,,,,2023.0,Afghanistan
40578842.0,20103167.0,20475675.0,35.143,6.906,9.0,18.5407413281322,45.5926541286011,35.8666180522693,47.8462362216355,33.9379350455125,18.2155979394767,14.1,26.742,14497243872.1337,,43053513.5897611,4885778832.03434,33.7014323213923,16.0503677223963,45.0499087998591,,357.261152798144,-6.24017199240269,,18.3800424016375,54.5054272070161,59.766,66.213,,2022.0,Afghanistan
40000412.0,19813956.0,20186456.0,35.842,7.344,9.0,18.5222619343237,45.9551993550382,35.5225263379821,53.7556550508471,26.9547500966098,19.2895218016683,11.994,16.945,14259995441.0759,-21.3800895564922,86093666.5147025,4791018919.53499,33.5976188725451,14.2736570191788,47.160422387969,,356.496214115892,-20.7388393676343,30790960.0,14.342152797537,37.06956357719,58.915,65.279,,2021.0,Afghanistan
39068979.0,19343529.0,19725450.0,36.051,7.113,9.0,18.4813121380722,45.9834110129553,35.5352768489725,53.8358727076764,26.4123681838726,19.7518259692815,11.71,16.778,19955929052.1496,,149227717.041072,5981905980.86851,29.9755825210461,12.9525996015547,52.5721090890613,,510.787063366811,-2.35110067203466,12970147.9832,10.4208171386207,36.2890774127896,59.866,65.432,,2020.0,Afghanistan
37856121.0,18736474.0,19119647.0,36.466,6.791,9.0,18.2147655674839,45.0509589051832,36.7342755273329,58.51027853971,25.481588068726,16.0081333915639,11.185,15.549,18799444490.1128,,281217520.635116,4845363322.05338,25.7739707394105,14.0581123697768,55.4728067408306,,496.6025042585,3.91160341625552,23404553.647249,,,60.619,66.677,2.30237251516819,2019.0,Afghanistan
36743039.0,18178417.0,18564622.0,36.927,6.981,9.0,18.3076601254034,44.2482711700717,37.4440687045249,63.1685737133143,24.8299112646687,12.001515022017,11.196,14.783,18053222687.4126,,241291270.13968,3979453237.53176,22.0428967527575,13.3872469597976,59.4774229106653,,491.337221382603,1.18922812944517,119435105.715177,,,59.923,66.458,0.626149149168983,2018.0,Afghanistan
35688935.0,17649936.0,18038999.0,37.342,7.027,9.0,18.026459473784,43.9890277482446,37.9845127779713,66.5953595154631,23.5845736305743,9.82001072133237,11.184,14.018,18753456497.8159,,208313289.638984,4954700541.75017,26.4201990834448,10.0518739969063,58.3290500097748,39.2201099807684,525.469770891619,2.6470032027451,51533896.765,,,60.105,66.099,4.97595150553892,2017.0,Afghanistan
34700612.0,17159297.0,17541315.0,37.936,7.077,9.0,19.2959876584963,44.3694895501554,36.3345227913483,66.0690138153423,24.7760540518311,9.15493213282662,10.133,12.834,18116572395.0772,,233903480.222699,4663262627.13517,25.7403140364582,10.4668076938201,59.0232164144095,43.9227656125389,522.082215583898,2.26031420279821,93591315.3,,,61.193,65.096,4.38389195513893,2016.0,Afghanistan
33831764.0,16732244.0,17099520.0,38.803,7.331,9.0,20.8147344539696,44.2968985704854,34.8883669755449,66.072065922278,26.5047865164887,7.42314756123328,9.052,11.611,19134221644.7325,,115277794.013026,3948217043.4989,20.6343227166798,22.1240424906926,53.2352934986503,37.0225695736427,565.569730408751,1.45131466066431,169146608.0,,,60.76,64.576,-0.66170916471352,2015.0,Afghanistan
32792523.0,16221843.0,16570680.0,39.105,7.395,9.0,22.0467416152603,44.7985873110296,33.1546710737101,64.9458382727872,27.3827152160493,7.67144651116352,7.915,10.317,20497128555.6972,,62543769.2122008,4537457828.43798,22.1370413719574,21.2296632181805,52.9908650351499,44.5892994893339,625.054941813938,2.72454336219565,42975262.5,,,60.812,64.274,4.67399603536305,2014.0,Afghanistan
